original_title,runtime,tagline,vote_average
Rocky,119,His whole life was a million-to-one shot.,7.5
The Sleepwalker,92,xyz,4.1
Tom Jones,128,Tom Jones! . . . loves and loves and loves and loves . . .,6.1
Unfriended,82,Online  your memories last forever. But so do your mistakes.,5.5
Taxi Driver,114,On every street in every city  there's a nobody who dreams of being a somebody.,8
The Howling,91,Imagine your worst fear a reality,6.4
Dr. No,110,NOW meet the most extraordinary gentleman spy in all fiction!,6.9
Chernobyl Diaries,88,Experience the fallout,4.9
Hellraiser,94,He'll tear your soul apart.,6.9
God's Not Dead 2,121,xyz,5.7
Cry_Wolf,90,Nobody believes a liar...even when they're telling the truth.,5.6
Gojira ni-sen mireniamu,107,Get ready to crumble.,5.9
Blue Valentine,112,Nobody Baby But You And Me,6.9
Transamerica,103,Life is a Journey. Bring an Open Mind.,6.9
The Devil Inside,83,No soul is safe.,4.6
Beyond the Valley of the Dolls,109,This Is Not A Sequel. There Has Never Been Anything Like It!,6.6
Love Me Tender,89,HEAR ELVIS SING . . .,5.5
An Inconvenient Truth,100,By far the most terrifying film you will ever see.,6.7
Sands of Iwo Jima,100,A Great Human Story... Makes A Mighty Motion Picture!!!,6.2
Shine a Light,122,A master director shining his light on the best rock band on the planet.,7.2
The Green Inferno,100,Fear will eat you alive.,5
Departure,109,xyz,7.5
The Sessions,98,The festival hit of the year!,6.6
Food  Inc.,94,You'll never look at dinner the same way again.,7.4
October Baby,107,Every Life Is Beautiful,6.8
Next Stop Wonderland,96,Romance Is Her Destination.,6
The Skeleton Twins,90,Family is a cruel joke.,6.7
Martha Marcy May Marlene,101,You can get away. But you can never escape.,6.7
Obvious Child,83,xyz,6.7
Frozen River,97,xyz,6.7
20 Feet from Stardom,89,xyz,7.4
Two Girls and a Guy,84,Thanks to his two girlfriends Blake is about to learn a new sexual position. Honesty,5.4
Walking and Talking,86,A movie for everyone who wants to get married and stay single at the same time.,6.6
Who Killed the Electric Car?,92,A lack of consumer confidence... or conspiracy?,7.2
The Broken Hearts Club: A Romantic Comedy,94,xyz,6.3
Bubba Ho-tep,92,The King vs. The King of the Dead.,6.7
Slam,100,Words make sense of a world that won't.,6.7
Brigham City,119,xyz,7.3
Fiza,170,In Search of her brother,6.1
Orgazmo,94,Fighting crime never felt so good!,6.2
All the Real Girls,108,Love is a puzzle. These are the pieces.,5.9
Dream with the Fishes,97,An oddball odyssey about voyeurism  LSD and nude bowling!,7.7
Blue Car,92,Ready or not... the future comes just the same.,6.7
Palo Alto,100,xyz,6.4
Ajami,120,xyz,6.8
Wristcutters: A Love Story,88,Life is a trip  but the afterlife is one hell of a ride,6.7
I Origins,106,xyz,7.5
The Battle of Shaker Heights,79,When you're 17  every day is war.,5.6
Jagal,115,A story of killers who win  and the society they build.,7.5
Taxi to the Dark Side,106,In 2002  a young cap driver picked up a few passengers near his home in Afghanistan... He never returned,6.6
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,97,The untold story of the team that had America at its feet.,4.7
Guiana 1838,120,xyz,2.8
Lisa Picard Is Famous,90,xyz,4
Antarctica: A Year on Ice,92,Step Outside The Box,7.2
A LEGO Brickumentary,93,xyz,6.4
Hardflip,114,What do you do when your life does a 180?,4.7
Chocolate: Deep Dark Secrets,200,xyz,3.4
The House of the Devil,95,Talk on the phone. Finish your homework. Watch TV. Die.,6
The Perfect Host,93,Dinner Parties Are A Dying Art.,6.2
Safe Men,88,Welcome to the world of disorganised crime.,6.3
Speedway Junky,104,There's no place for dreams on the streets of Vegas,5.2
The Last Big Thing,98,The culture is going down on itself... go ahead  Scream!,6
The Specials,82,xyz,5.5
16 to Life,118,xyz,4.4
Alone With Her,78,Anytime. Anywhere. He's watching.,6.2
Creative Control,97,A story about virtually everything,5.4
Special,81,xyz,6.6
Sparkler,96,xyz,0
The Helix... Loaded,97,xyz,4.8
In Her Line of Fire,88,Behind Enemy Lines No Man Can Stop Her. Only One Woman Can Touch Her.,3.3
The Jimmy Show,96,xyz,8
Heli,105,Police corruption  drug trafficking  sexual exploitation  love  guilt and revenge.,6.2
Karachi se Lahore,0,xyz,8
Loving Annabelle,76,xyz,6.4
Hits,96,Based on a true story... that hasn't happened yet.,4.9
Jimmy and Judy,99,xyz,5.4
Frat Party,84,xyz,3.5
The Party's Over,94,xyz,6.1
Proud,87,Proudly We Served,5.5
The Poker House,93,Lust  drugs and violence... no place for a kid.,6.1
Childless,90,xyz,4.5
ZMD: Zombies of Mass Destruction,92,They're just like you ... only dead,4.7
Snow White: A Deadly Summer,85,This is no fairy tale,4.8
A escondidas,96,xyz,7.6
My Last Day Without You,90,xyz,5.7
Steppin: The Movie,85,xyz,5
Doc Holliday's Revenge,84,xyz,3.2
Black Rock,83,Not every island is a paradise.,4.9
Truth or Dare,95,Truth or Die,5.7
The Pet,94,xyz,5.3
Bang Bang Baby,90,Once upon a time  there was a girl...,6.6
Fear Clinic,95,xyz,4
Zombie Hunter,93,xyz,3.5
A Fine Step,90,Together they learnt to dream again,4.1
Charly,103,A love story that begins with an incredible experiment!,6.6
Banshee Chapter,87,The experiments are over  the terror has just begun...,5.7
Ask Me Anything,100,Young. Not so innocent.,5.5
And Then Came Love,90,xyz,5
Food Chains,83,xyz,7.4
On the Waterfront,108,The Man Lived by the Jungle Law of the Docks!,8
L!fe Happens,100,A comedy that's a real mother.,5.3
4 luni  3 săptămîni și 2 zile,113,At what moment do we begin to live?,7.3
The Horror Network Vol. 1,0,xyz,5
Hard Candy,103,Strangers shouldn't talk to little girls.,6.8
The Quiet,96,Isn't it time everyone hears your secrets?,6.1
Circumstance,107,xyz,7.4
Fruitvale Station,85,Every step brings you closer to the edge,7.3
The Brass Teapot,100,Everyone Has A Price. What's Yours?,5.8
Bambi,70,A great love story.,6.8
The Hammer,88,Some Guys Don't Know Their Destiny Till It Hits Them In The Face.,6.5
Latter Days,107,Aaron prays. Christian plays... Opposites attract.,6.7
Le bonheur d'Elza,78,xyz,0
1982,90,xyz,5
For a Good Time  Call...,85,Lose your hang-ups. Find your calling.,5.8
Celeste & Jesse Forever,91,A Loved Story,6.4
Time Changer,95,What if you could see the future impact of your beliefs? One man will.,5.2
London to Brighton,85,Innocence has nowhere to hide,6.5
American Hero,86,From zero to superhero,5
Windsor Drive,90,xyz,2
جدایی نادر از سیمین,123,Ugly truth  sweet lies.,7.7
Crying with Laughter,93,A Bad Trip Down Memory Lane,7
Welcome to the Dollhouse,88,Not all girls want to play with dolls.,6.9
Ruby in Paradise,114,A woman's search for herself.,5.6
Raising Victor Vargas,88,xyz,7.8
Die Büchse der Pandora,109,xyz,7.6
Harrison Montgomery,0,xyz,0
Cama adentro,83,xyz,7.8
Deterrence,101,xyz,6.1
The Mudge Boy,94,xyz,7.3
The Young Unknowns,87,xyz,0
Not Cool,90,xyz,3.7
Død snø,91,Eins  Zwei  Die!,6.1
Saints and Soldiers,90,xyz,6.6
Vessel,14,xyz,5.9
American Graffiti,110,Where were you in '62?,6.9
Iraq for Sale: The War Profiteers,75,xyz,8
Aqua Teen Hunger Force Colon Movie Film for Theaters,86,xyz,6.5
Safety Not Guaranteed,85,What would you go back for?,6.8
Kevin Hart: Laugh at My Pain,89,Alright! Alright! Alright!,7.7
Kill List,95,xyz,6
The Innkeepers,102,Some guests never checked out.,5.4
Il conformista,107,Bertolucci's Masterpiece about Sex and Politics,7.6
Interview with the Assassin,88,Dallas. 1963. The second shooter.,5.6
Donkey Punch,99,This party is going overboard,4.5
All the Boys Love Mandy Lane,90,Everyone is dying to be with her. Someone is killing for it.,5.7
Bled,95,Every addiction has its price.,3.8
High Noon,85,The story of a man who was too proud to run.,7.6
Hoop Dreams,171,An Extraordinary True Story.,7.7
Rize,86,xyz,5.9
L.I.E. Long Island Expressway,97,On the Long Island Expressway there are lanes going east  lanes going west  and lanes going straight to hell.,6.7
The Sisterhood of Night,104,The Salem Witch Trials remixed.,6.5
B-Girl,84,xyz,5.5
Half Nelson,107,Secrets don't let go.,6.5
Naturally Native,107,Sometimes When You're Going Home  It's Important To Know Where You've Come From...,0
Hav Plenty,92,xyz,0
Adulterers,80,Love. Betrayal. Vengeance,5.2
Escape from Tomorrow,90,Bad things happen everywhere.,4.8
Starsuckers,103,xyz,6.2
The Hadza:  Last of the First,70,xyz,0
After,90,xyz,5.6
Treachery,68,Deep roots... Deeper Secrets,4.8
Walter,87,Heaven or hell. It's in his hands.,5.3
Top Hat,101,They're Dancing Cheek-To-Cheek Again!,7.4
The Blair Witch Project,81,The scariest movie of all time is a true story.,6.3
Woodstock,225,3 days of peace  music...and love.,7.1
The Kentucky Fried Movie,83,This movie is totally out of control!,6.4
Mercy Streets,106,xyz,5.5
Arnolds Park,103,xyz,0
Broken Vessels,90,Over the edge and out of control.,6
Water & Power,0,xyz,3
They Will Have to Kill Us First,105,xyz,5
Light from the Darkroom,0,xyz,0
Médecin de campagne,102,xyz,6
The Maid's Room,98,How far will a family go to bury the truth?,4.8
A Hard Day's Night,88,The Beatles  starring in their first full-length  hilarious  action-packed film!,7.3
The Harvest (La Cosecha),80,xyz,0
Love Letters,98,Sometimes It's Right To Do the Wrong Thing.,4.6
Julija in Alfa Romeo,83,xyz,6
Fireproof,122,Never Leave Your Partner Behind.,7
Faith Connections,115,xyz,4.2
Benji,86,xyz,6.1
Open Water,79,Scream all you want.,5.4
High Road,87,The road less traveled is filled with pot holes.,5.8
Kingdom of the Spiders,97,A Living  Crawling  Hell on Earth!,5.7
Mad Hot Ballroom,105,xyz,7.2
The Station Agent,88,Loneliness is much better when you have got someone to share it with.,7.4
To Save A Life,120,Some people are just dying to be heard.,6.2
Wordplay,94,xyz,7.3
Beyond the Mat,102,xyz,7.8
The Singles Ward,102,The Road to Eternal Marriage Has Never Been Longer,7.5
Osama,83,To save her family a girl must become a boy,6.3
Sholem Aleichem: Laughing In The Darkness,93,Before there was Fiddler  there was Tevye... and the man who created him.,7
Groove,86,Are you feeling it?,5.6
The R.M.,101,Just when you thought it was safe to go back into the world...,4.8
Twin Falls Idaho,111,A different kind of love story.,7
Mean Creek,90,Beneath the surface  everyone has a secret.,6.9
Hurricane Streets,86,Know life. No limits.,4.8
Never Again,98,A mature love story for immature people.,4
Civil Brand,95,xyz,5.3
Lonesome Jim,91,xyz,6.4
Drinking Buddies,90,A comedy about knowing when to say when.,6
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,88,xyz,7.1
七人の侍,207,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,8.2
Kita svajonių komanda,89,xyz,6.9
Johnny Suede,97,Keeping up an image can be a full time job.,4.7
Finishing The Game,84,xyz,4.9
Rubber,85,Are you TIRED of the expected?,5.7
Kiss the Bride,100,xyz,4.2
The Slaughter Rule,112,xyz,6.2
Monsters,94,After Six Years  They're No Longer Aliens. They're Residents,6.2
The Californians,91,All is fair in love and real estate.,4
The Living Wake,91,xyz,5
Detention of the Dead,87,When there's no more room in Hell  the dead will go to DETENTION!,4.5
疯狂的石头,98,xyz,6.9
Scott Walker: 30 Century Man,95,xyz,7
Everything Put Together,87,xyz,5
Good Kill,104,xyz,5.9
The Outrageous Sophie Tucker,96,xyz,0
Now Is Good,103,Live every moment  love every minute,7.3
Girls Gone Dead,104,xyz,3.5
America Is Still the Place,0,xyz,0
Subconscious,110,xyz,3.4
Enter Nowhere,90,Welcome to our nightmare!,6.5
El Rey de Najayo,101,xyz,0
Fight to the Finish,94,It's all or nothing,5.2
Alleluia! The Devil's Carnival,0,Hell ain't got a prayer.,6
The Sound and the Shadow,90,Be careful what you listen for.,0
Rodeo Girl,108,xyz,5.5
Born to Fly: Elizabeth Streb vs. Gravity,82,xyz,5
The Little Ponderosa Zoo,84,xyz,2
The Toxic Avenger,82,He was 98lbs. of solid nerd until he became...,6.3
Straight Out of Brooklyn,0,xyz,4.3
Bloody Sunday,107,xyz,7.2
Diamond Ruff,0,xyz,2.4
Conversations with Other Women,84,There are two sides to every love story.,6.2
Poultrygeist: Night of the Chicken Dead,103,xyz,5.9
Mutual Friends,0,Surprise parties rarely go well.,0
42nd Street,89,xyz,6.1
Rise of the Entrepreneur: The Search for a Better Way,0,xyz,8
Metropolitan,98,Finally... A film about the downwardly mobile.,7
Så som i himmelen,132,xyz,6.9
Roadside,90,Their fate...is in his hands.,4.2
Napoleon Dynamite,95,He's out to prove he's got nothing to prove.,6.7
Blue Ruin,90,Revenge comes home,6.9
Paranormal Activity,86,What Happens When You Sleep?,5.9
Dogtown and Z-Boys,91,xyz,7.2
Monty Python and the Holy Grail,91,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,7.8
Quinceañera,90,Life's no walk in the park,7
Gory Gory Hallelujah,0,xyz,1
Tarnation,91,xyz,7.5
I Want Your Money,92,The film contrasts two views of role that the federal government should play in our daily lives using the words and actions of Ronald Reagan and Barack Obama.,3.8
Love in the Time of Monsters,0,xyz,5
...E tu vivrai nel terrore! L'aldilà,87,The seven dreaded gateways to Hell are concealed in seven cursed places… And from the day the gates of Hell are opened  the dead will walk the earth.,6.6
What Happens in Vegas,99,Get Lucky,5.8
The Dark Hours,80,xyz,5.5
My Beautiful Laundrette,97,xyz,6.6
Fabled,84,There once was a wolf named Lupold...,0
Show Me,97,xyz,5.6
Viskningar och rop,91,A haunting and shattering film experience.,7.8
Intolerance,197,The Cruel Hand of Intolerance,7.4
Trekkies,86,xyz,6.3
The Broadway Melody,100,The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul!,5
The Evil Dead,85,The Ultimate Experience In Grueling Terror,7.3
Maniac,89,I Warned You Not to Go Out Tonight.,6
Censored Voices,84,The Six-Day War  Uncut.,5.1
Murderball,88,xyz,6.9
American Ninja 2: The Confrontation,90,xyz,4.9
51 Birch Street,90,Do you really want to know your parents?,6.8
Rotor DR1,98,xyz,4.7
12 Angry Men,96,Life is in their hands. Death is on their minds.,8.2
My Dog Tulip,83,Sometimes  love really is a bitch.,7.6
It Happened One Night,105,TOGETHER... for the first time,7.7
Κυνόδοντας,94,The cat is the most feared animal there is!,6.9
Tupac: Resurrection,112,In his own words,8
Tumbleweeds,102,They ran away from everything but each other.,6.2
The Prophecy,98,On ancient ground  at the edge of the world  an evil born in heaven is about to be unleashed on earth.,6.4
Chacun Cherche Son Chat,91,No man. No job. No cat.,6.1
Pieces of April,81,She's the one in every family.,6.4
The Big Swap,0,xyz,0
Old Joy,73,xyz,6.3
Wendy and Lucy,80,On the long road  friendship is everything.,6.4
3 Backyards,88,xyz,4.8
Pierrot le fou,110,xyz,7.6
Sisters in Law,104,xyz,7.3
Ayurveda: Art of Being,101,xyz,5.5
Nothing But a Man,95,xyz,7
First Love  Last Rites,94,xyz,3
Fighting Tommy Riley,0,xyz,5.3
Royal Kill,90,xyz,2.8
The Looking Glass,110,xyz,7
Death Race 2000,80,A Cross Country Road Wreck!,5.9
Locker 13,90,xyz,6.8
Midnight Cabaret,94,The hot spot where Satan's waitin'.,0
Anderson's Cross,98,Sometimes the boy next door is more than the boy next door...,0
Bizarre,99,xyz,6.2
Graduation Day,96,Some kids are dying to graduate...,5
Some Guy Who Kills People,97,Your number is up.,5.7
Compliance,90,Power. Manipulation. Obedience.,6.3
Chasing Amy,113,It's not who you love. It's how.,6.7
Lovely & Amazing,91,xyz,6.3
Death Calls,0,xyz,0
Better Luck Tomorrow,101,Never underestimate an overachiever.,6.5
The Incredibly True Adventure of Two Girls In Love,94,xyz,5.7
Chuck & Buck,96,REMEMBER THOSE GAMES WE USED TO PLAY?,5.7
American Desi,100,xyz,5
Amidst the Devil's Wings,90,"Prequel to ""5th of a Degree.""",0
Cube,90,Don't look for a reason... Look for a way out.,6.9
Love and Other Catastrophes,78,xyz,5.8
I Married a Strange Person!,72,xyz,7.5
November,73,xyz,4.9
Like Crazy,90,I Want You. I Need You. I Love You. I Miss You.,6.4
Teeth and Blood,96,xyz,3
Sugar Town,92,xyz,5.5
The Motel,75,Out of Place in the Middle of Nowhere.,7
The Canyons,99,It's not the hills.,4.1
